원료명,영문명,CAS_No,설명_요약,태그_목록,상세_URL
흰버드나무꽃추출물,,,,"추출물, 컨디셔닝, EWG GREEN, 🇨🇳중국 수출 가능, 🇯🇵일본 수출 가능, 🇪🇺유럽 수출 가능, KO, EN, JP, AI, EU, EWG, 식, AI, 가능, 가능",https://coos.kr/ingredients/%ED%9D%B0%EB%B2%84%EB%93%9C%EB%82%98%EB%AC%B4%EA%BD%83%EC%B6%94%EC%B6%9C%EB%AC%BC
흰민들레줄기추출물,,,,"추출물, 항균/항염, 항산화, 컨디셔닝, 보습, 🇪🇺유럽 수출 가능, KO, EN, AI, AI, AI, AI, EU, 식, AI, 불가, 불가",https://coos.kr/ingredients/%ED%9D%B0%EB%AF%BC%EB%93%A4%EB%A0%88%EC%A4%84%EA%B8%B0%EC%B6%94%EC%B6%9C%EB%AC%BC
"히오스사이아민, 그 염류 및 유도체",,,,"첨가제/액티브, 항노화/주름 개선, 자극 완화/진정, AI, AI, AI, 불가, 불가",https://coos.kr/ingredients/%ED%9E%88%EC%98%A4%EC%8A%A4%EC%82%AC%EC%9D%B4%EC%95%84%EB%AF%BC%2C%20%EA%B7%B8%20%EC%97%BC%EB%A5%98%20%EB%B0%8F%20%EC%9C%A0%EB%8F%84%EC%B2%B4
히비스커스잎,,,,"추출물, 컨디셔닝, 자극 완화/진정, EWG GREEN, 🇪🇺유럽 수출 가능, KO, EN, JP, AI, AI, EU, EWG, AI, 불가, 가능",https://coos.kr/ingredients/%ED%9E%88%EB%B9%84%EC%8A%A4%EC%BB%A4%EC%8A%A4%EC%9E%8E
흰민들레꽃추출물,,,,"추출물, 컨디셔닝, 자극 완화/진정, 🇪🇺유럽 수출 가능, KO, EN, AI, AI, EU, 식, AI, 불가, 불가",https://coos.kr/ingredients/%ED%9D%B0%EB%AF%BC%EB%93%A4%EB%A0%88%EA%BD%83%EC%B6%94%EC%B6%9C%EB%AC%BC
흰버드나무잎추출물,,,,"추출물, 컨디셔닝, 항균/항염, EWG GREEN, 🇨🇳중국 수출 가능, 🇯🇵일본 수출 가능, 🇪🇺유럽 수출 가능, KO, EN, JP, AI, AI, EU, EWG, 식, AI, 가능, 가능",https://coos.kr/ingredients/%ED%9D%B0%EB%B2%84%EB%93%9C%EB%82%98%EB%AC%B4%EC%9E%8E%EC%B6%94%EC%B6%9C%EB%AC%BC
흰중국등나무추출물,,,,"추출물, 컨디셔닝, 자극 완화/진정, EWG GREEN, 🇨🇳중국 수출 가능, 🇯🇵일본 수출 가능, 🇪🇺유럽 수출 가능, KO, EN, JP, AI, AI, EU, EWG, 식, AI, 가능, 가능",https://coos.kr/ingredients/%ED%9D%B0%EC%A4%91%EA%B5%AD%EB%93%B1%EB%82%98%EB%AC%B4%EC%B6%94%EC%B6%9C%EB%AC%BC
흰소나무껍질추출물,,,,"추출물, 항산화제, 컨디셔닝, 항산화, EWG GREEN, 🇨🇳중국 수출 가능, 🇯🇵일본 수출 가능, 🇪🇺유럽 수출 가능, KO, EN, JP, AI, AI, EU, EWG, 식, AI, AI, 가능, 가능",https://coos.kr/ingredients/%ED%9D%B0%EC%86%8C%EB%82%98%EB%AC%B4%EA%BB%8D%EC%A7%88%EC%B6%94%EC%B6%9C%EB%AC%BC
흰민들레잎추출물,,,,"추출물, 보습제, 항균/항염, 항산화, 🇪🇺유럽 수출 가능, KO, EN, AI, AI, EU, 식, AI, AI, 불가, 불가",https://coos.kr/ingredients/%ED%9D%B0%EB%AF%BC%EB%93%A4%EB%A0%88%EC%9E%8E%EC%B6%94%EC%B6%9C%EB%AC%BC
히스피딘,,,,"첨가제/액티브, 항산화제, 항산화, 항노화/주름 개선, KO, AI, AI, AI, AI, 불가, 불가",https://coos.kr/ingredients/%ED%9E%88%EC%8A%A4%ED%94%BC%EB%94%98
히스티딘에이치씨엘,,,,"단백질/펩타이드, 컨디셔닝, 항산화, EWG GREEN, 🇨🇳중국 수출 가능, 🇯🇵일본 수출 가능, 🇪🇺유럽 수출 가능, KO, JP, AI, AI, EU, EWG, 식, AI, 가능, 가능",https://coos.kr/ingredients/%ED%9E%88%EC%8A%A4%ED%8B%B0%EB%94%98%EC%97%90%EC%9D%B4%EC%B9%98%EC%94%A8%EC%97%98
흰전동싸리꽃/잎/줄기추출물,,,,"추출물, 항산화제, 항균/항염, 항산화, 🇪🇺유럽 수출 가능, KO, EN, AI, AI, EU, 식, AI, AI, 불가, 불가",https://coos.kr/ingredients/%ED%9D%B0%EC%A0%84%EB%8F%99%EC%8B%B8%EB%A6%AC%EA%BD%83%2F%EC%9E%8E%2F%EC%A4%84%EA%B8%B0%EC%B6%94%EC%B6%9C%EB%AC%BC
히비스커스열매추출물,,,,"추출물, 항산화, 컨디셔닝, EWG GREEN, 🇯🇵일본 수출 가능, 🇪🇺유럽 수출 가능, KO, EN, JP, AI, AI, EU, 식, AI, 불가, 가능",https://coos.kr/ingredients/%ED%9E%88%EB%B9%84%EC%8A%A4%EC%BB%A4%EC%8A%A4%EC%97%B4%EB%A7%A4%EC%B6%94%EC%B6%9C%EB%AC%BC
히아신스추출물,,,,"추출물, 향료, 탈취/소취/향, 컨디셔닝, 🇯🇵일본 수출 가능, 🇪🇺유럽 수출 가능, KO, EN, JP, AI, AI, EU, 식, AI, AI, 불가, 가능",https://coos.kr/ingredients/%ED%9E%88%EC%95%84%EC%8B%A0%EC%8A%A4%EC%B6%94%EC%B6%9C%EB%AC%BC
히솝꽃/잎/줄기오일,,,,"오일/에몰리언트, 향료, 컨디셔닝, 탈취/소취/향, 🇯🇵일본 수출 가능, 🇪🇺유럽 수출 가능, KO, EN, JP, AI, AI, EU, 식, AI, AI, 불가, 가능",https://coos.kr/ingredients/%ED%9E%88%EC%86%9D%EA%BD%83%2F%EC%9E%8E%2F%EC%A4%84%EA%B8%B0%EC%98%A4%EC%9D%BC
히비스커스꽃수,,,,"추출물, 컨디셔닝, 항산화, EWG GREEN, 🇯🇵일본 수출 가능, 🇪🇺유럽 수출 가능, KO, EN, JP, AI, AI, EU, 식, AI, 불가, 가능",https://coos.kr/ingredients/%ED%9E%88%EB%B9%84%EC%8A%A4%EC%BB%A4%EC%8A%A4%EA%BD%83%EC%88%98
