브랜드명_정리,제품명_정리,카테고리,성분_문자열,제품명_원본
차앤박,더마앤서 PDRN 앰플,에센스_세럼_앰플,C14-22알코올 C18-21알케인 글라이코스핑고리피드 글루타믹애씨드 글리세린 글리세릴스테아레이트 글리세릴아크릴레이트/아크릴릭애씨드코폴리머 나이아신아마이드 다이메티콘 다이프로필렌글라이콜 돌콩오일 락토바실러스/콩발효추출물 락토바실러스발효용해물 로즈마리잎오일 리날룰 리모넨 마카다미아씨오일 메틸프로판다이올 멕시칸주니퍼오일 베타-글루칸 베타인 부틸렌글라이콜 비스-피이지-18메틸에터다이메틸실레인 세라마이드엔피 소듐디엔에이 소듐아크릴레이트/비닐알코올코폴리머 소듐아크릴릭애씨드/엠에이코폴리머 소듐폴리아크릴레이트 소듐하이알루로네이트 수크로오스스테아레이트 스쿠알란 스테아릭애씨드 시어버터 아데노신 아라키딜글루코사이드 아이리쉬모스추출물 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머 알지닌 정제수 카보머 콜레스테롤 클레리오일 토코페롤 트라이데세스-6 트라이소듐이디티에이 트라이에틸헥사노인 트로메타민 트록세루틴 판테놀 팔미틱애씨드 폴리글리세릴-10스테아레이트 폴리글리세릴-10올리에이트 폴리메틸실세스퀴옥세인 피이지-100스테아레이트 피이지-7글리세릴코코에이트 피이지/피피지-17/6코폴리머 피이지/피피지/폴리부틸렌글라이콜-8/5/3글리세린 하이드로제네이티드레시틴 호호바왁스피이지-120에스터 효모/감자추출물발효여과물 효모/보리씨발효여과물,[10월올영픽/90ml대용량]차앤박 더마앤서 PDRN 앰플 30ml+60ml 리필+대형스티커 (아따맘마 콜라보)
에스네이처,아쿠아 스쿠알란 세럼,에센스_세럼_앰플,글루코오스 글리세린 다시마추출물 다이소듐이디티에이 메틸프로판다이올 버지니아풍년화추출물 베타-글루칸 베타인 부틸렌글라이콜 소듐아세틸레이티드하이알루로네이트 소듐하이알루로네이트 소듐하이알루로네이트크로스폴리머 스쿠알란 식물성스쿠알란 아데노신 아세틸헥사펩타이드-8 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머 안하이드로자일리톨 알란토인 알지닌 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머 에틸헥실글리세린 자일리톨 자일리틸글루코사이드 잔탄검 정제수 카보머 카프릴릴글라이콜 트로메타민 판테놀 포타슘하이알루로네이트 프룩토올리고사카라이드 하이드로제네이티드레시틴 하이드록시프로필트라이모늄하이알루로네이트 하이드롤라이즈드소듐하이알루로네이트 하이드롤라이즈드콜라겐 하이드롤라이즈드하이알루로닉애씨드 하이알루로닉애씨드 한련초잎추출물,[10월 올영픽/리즈PICK/아이돌광채 화잘먹세럼] 에스네이처 아쿠아 스쿠알란 세럼 50ml 리필 기획 (+광채거울)
파티온,노스카나인 트러블 세럼,에센스_세럼_앰플,글리세린 다이에톡시에틸석시네이트 다이프로필렌글라이콜 병풀추출물 사과추출물 석시닉애씨드 세라마이드엔피 소듐하이알루로네이트 소듐헤파린 쑥잎추출물 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머 알란토인 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머 에틸헥실글리세린 잔탄검 정제수 카프릴릴/카프릴글루코사이드 토코페롤 트로메타민 판테놀 펜틸렌글라이콜 폴리글리세릴-10라우레이트 하이드로제네이티드레시틴 하이드록시아세토페논 하이드록시에틸우레아,[대용량/트러블1등] 파티온 노스카나인 트러블 세럼 50ml 리필 기획(+리필40ml+크림10ml)
VT,리들샷 에센스,에센스_세럼_앰플,글라이신 글루타믹애씨드 글리세레스-26 글리세린 나이아신아마이드 다이프로필렌글라이콜 라이신 류신 마데카소사이드 마데카식애씨드 마카다미아씨오일 메티오닌 발린 병풀추출물 부틸렌글라이콜 세린 소듐아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머 소듐폴리아크릴레이트 소듐하이알루로네이트 솔비탄올리에이트 시스테인 실리카 아데노신 아스파틱애씨드 아시아티코사이드 아시아틱애씨드 아이소류신 알라닌 알지닌 에틸헥실글리세린 에틸헥실팔미테이트 잔탄검 정제수 카프릴릴/카프릴글루코사이드 카프릴릴글라이콜 타이로신 트레오닌 페닐알라닌 폴리아이소부텐 프로폴리스추출물 프롤린 히스티딘,[모공에센스] VT 리들샷 100 에센스 30ml 더블 기획(+피디알엔 에센스 100 1.5ml*3ea)
피지오겔,사이언수티컬즈 데일리뮨 앰플 세럼 2입기획,에센스_세럼_앰플,글라이코실트레할로오스 글리세린 다마스크장미꽃오일 다이소듐이디티에이 다이프로필렌글라이콜 덱스트린 돌콩오일 마데카소사이드 베티버뿌리오일 변성알코올 부틸렌글라이콜 생강오일 세라마이드엔피 소듐하이알루로네이트 솔비톨 스쿠알란 아스코빅애씨드 알란토인 영지버섯추출물 육계잎오일 잇꽃꽃추출물 정제수 카카오씨추출물 카프릴릭/카프릭트라이글리세라이드 토코페롤 트레할로오스 트로메타민 판테놀 페룰릭애씨드 폴리글리세릴-10스테아레이트 폴리글리세릴-10올리에이트 프로판다이올 하이드로제네이티드레시틴 하이드로제네이티드스타치하이드롤리세이트 홍삼추출물 후추열매오일,[비타민C 앰플] 피지오겔 사이언수티컬즈 데일리뮨 앰플 세럼 20ml 2입기획 (20ml+20ml)
아비브,어성초 테카 캡슐 세럼 카밍드롭,에센스_세럼_앰플,4-터피네올 가지열매추출물 글루코오스 글리세린 나이아신아마이드 다이에톡시에틸석시네이트 다이프로필렌글라이콜 드럼스틱씨오일 마데카소사이드 마데카식애씨드 바이오사카라이드검-1 베타-글루칸 베타인 부틸렌글라이콜 사과추출물 사탕수수추출물 석시닉애씨드 소듐파이테이트 솔비톨 아모다이메티콘 아시아티코사이드 아시아틱애씨드 아이리쉬모스추출물 아이비고드열매추출물 아이소노닐아이소노나노에이트 알란토인 알지닌 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머 에틸헥실글리세린 엑토인 울금뿌리추출물 인도멀구슬나무꽃추출물 인도멀구슬나무잎추출물 잔탄검 정제수 참산호말추출물 카보머 카프릴릭/카프릭트라이글리세라이드 캐스터오일/아이피디아이코폴리머 토코페롤 트로메타민 판테놀 펜틸렌글라이콜 프로판다이올 프룩토오스 프룩토올리고사카라이드 호박가루 홀리바질잎추출물,[차은우PICK] 아비브 어성초 테카 캡슐 세럼 카밍드롭 50+20ml 기획
메디큐브,제로 원데이 세럼 더블기획,에센스_세럼_앰플,글라이콜릭애씨드 글루코노락톤 글리세린 나이아신아마이드 다이메티콘 덱스트린 락토바실러스발효용해물 락틱애씨드 레시틴 마데카소사이드 메틸프로판다이올 병풀추출물 부틸렌글라이콜 살리실릭애씨드 서양민들레잎추출물 소듐시트레이트 소듐아세틸레이티드하이알루로네이트 소듐폴리아크릴로일다이메틸타우레이트 소듐하이알루로네이트 소듐하이알루로네이트크로스폴리머 시트릭애씨드 알란토인 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머 에틸헥실글리세린 원추리꽃추출물 인디고추출물 정제수 치자추출물 트라이소듐포스페이트 트로메타민 펜틸렌글라이콜 폴리글리세린-3 프로판다이올 하이드록시에틸셀룰로오스 하이드록시프로필트라이모늄하이알루로네이트 하이드롤라이즈드소듐하이알루로네이트 하이알루로닉애씨드,[깐달걀세럼] 메디큐브 제로 모공 원데이 세럼 더블기획 (30ml+30ml)
한율,어린쑥 속수분 쑥히알 세럼,에센스_세럼_앰플,글루타믹애씨드 글리세린 다이에톡시에틸석시네이트 락토바실러스발효물 말토덱스트린 베타인 베헤닐알코올 부틸렌글라이콜 세라마이드엔피 세테아릴알코올 소듐메타포스페이트 소듐아크릴레이트크로스폴리머-2 소듐하이알루로네이트 스테아릭애씨드 스핑고모나스발효추출물 아라키딜글루코사이드 아라키딜알코올 아스파틱애씨드 아이소펜틸다이올 알지닌 암모늄아크릴로일다이메틸타우레이트/베헤네스-25메타크라일레이트크로스폴리머 에틸헥실글리세린 이노시톨 자일리톨 정제수 토코페롤 프로필렌글라이콜 피토스테롤 피피지-13-데실테트라데세스-24 하이드로제네이티드레시틴 하이드롤라이즈드치자추출물 하이알루로닉애씨드 향료,[10월 올영픽/스킨케어브러시 증정]한율 어린쑥 속수분 쑥히알 세럼 40ml 리필 기획 (+40ml 리필)
토리든,다이브인 저분자 히알루론산 세럼,에센스_세럼_앰플,글리세린 글리세릴아크릴레이트/아크릴릭애씨드코폴리머 다이프로필렌글라이콜 마데카소사이드 마데카식애씨드 말라카이트추출물 모란뿌리추출물 버지니아풍년화잎추출물 베타-글루칸 베타인 부틸렌글라이콜 세라마이드엔피 소듐아세틸레이티드하이알루로네이트 소듐하이알루로네이트 소듐하이알루로네이트크로스폴리머 쇠비름추출물 알란토인 에틸헥실글리세린 잔탄검 정제수 카보머 콜레스테롤 트레할로오스 트로메타민 판테놀 펜틸렌글라이콜 폴리글리세릴-10라우레이트 프로판다이올 피브이엠/엠에이코폴리머 하이드롤라이즈드소듐하이알루로네이트 하이드롤라이즈드하이알루로닉애씨드 황금추출물,[가나디 콜라보] 토리든 다이브인 저분자 히알루론산 세럼 50ml 리필 가나디 기획 (+인형키링)
리쥬란,힐러 턴오버 앰플 듀얼 이펙트 한정기획,에센스_세럼_앰플,검은뽕나무열매추출물 글라이신 글루코오스 글루타믹애씨드 글리세린 글리세릴아크릴레이트/아크릴릭애씨드코폴리머 글리세릴폴리아크릴레이트 나이아신아마이드 다이메티콘올 다이소듐이디티에이 다이소듐포스페이트 다이펩타이드다이아미노부티로일벤질아마이드다이아세테이트 다이포타슘글리시리제이트 다이프로필렌글라이콜 덱스트린 라이신 로우스위트블루베리추출물 류신 마그네슘클로라이드 메티오닌 메틸프로판다이올 발린 부틸렌글라이콜 비닐다이메티콘 비사보롤 서양산딸기잎추출물 세라마이드엔피 세린 소듐클로라이드 소듐팔미토일프롤린 소듐하이알루로네이트 소듐하이알루로네이트크로스폴리머 솔비탄아이소스테아레이트 스쿠알란 스페인감초뿌리추출물 시스테인 아데노신 아스파틱애씨드 아이소류신 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머 알라닌 알란토인 알로에베라잎즙 알바수련꽃추출물 알부틴 알지닌 알진 에틸헥실글리세린 올레익애씨드 우레아 이눌린라우릴카바메이트 잔탄검 접시꽃추출물 정제수 제로틴/하이드롤라이즈드디엔에이 카보머 카카오씨추출물 카페인 카프릴릴글라이콜 카프릴릴메티콘 콜레스테롤 타이로신 테트라데실아미노부티로일발릴아미노부티릭우레아트라이플루오로아세테이트 토코페롤 토코페릴아세테이트 트레오닌 트레할로오스 트로메타민 판테놀 페닐알라닌 펜틸렌글라이콜 포타슘포스페이트 포트마리골드꽃추출물 폴리글리세릴-10라우레이트 폴리메틸실세스퀴옥세인 폴리솔베이트20 폴리아크릴레이트크로스폴리머-6 풀루란 프로판다이올 프롤린 프룩토오스 프룩토올리고사카라이드 피이지-6 하이드로제네이티드레시틴 하이드로제네이티드폴리데센 하이드록시아세토페논 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머 하이드롤라이즈드디엔에이 하이드롤라이즈드콜라겐 해바라기씨오일 향료 헥실렌글라이콜 화이트루핀씨추출물 히스티딘,[10월 올영픽] 리쥬란 힐러 턴오버 앰플 듀얼 이펙트 10ml 더블 한정기획(+앰플5ml+V타이터 마스크 1매)
