brand,product_name,product_full,standard_ingredients,num_ingredients
쏘내추럴,올 데이 페이스 프렙 픽서,쏘내추럴 올 데이 페이스 프렙 픽서,,0
비플레인,시카테롤 앰플,비플레인 시카테롤 앰플,,0
센텔리안24,마데카 멜라 캡처 앰플 맥스,센텔리안24 마데카 멜라 캡처 앰플 맥스,,0
유세린,하이알루론 부스팅 에센스,유세린 하이알루론 부스팅 에센스,,0
웰라쥬,원데이키트 3종 택1,웰라쥬 원데이키트 3종 택1,,0
닥터자르트,컨트롤에이 티트리먼트 수딩 스팟,닥터자르트 컨트롤에이 티트리먼트 수딩 스팟,,0
이니스프리,비타민C 캡슐 세럼,이니스프리 비타민C 캡슐 세럼,,0
앰플엔,세라마이드샷 보습장벽앰플 100ml기획,앰플엔 세라마이드샷 보습장벽앰플 100ml기획,,0
이니스프리,비타민C 캡슐 세럼,이니스프리 비타민C 캡슐 세럼,,0
차앤박,프로폴리스 트리트먼트 앰플 에센스,차앤박 프로폴리스 트리트먼트 앰플 에센스,피피지-17,1
코스알엑스,어드밴스드 더 비타민C 세럼,코스알엑스 어드밴스드 더 비타민C 세럼,,0
닥터지,레드블레미쉬 클리어 수딩 액티브 에센스,닥터지 레드블레미쉬 클리어 수딩 액티브 에센스,,0
오어스,히알루론시카 7초 세럼 인 앰플,오어스 히알루론시카 7초 세럼 인 앰플,,0
아이오페,레티놀 레티젝션 세럼,아이오페 레티놀 레티젝션 세럼,,0
마미케어,바다포도 모공앰플,마미케어 바다포도 모공앰플,,0
아이소이,아크니닥터 1st 스피디 스팟,아이소이 아크니닥터 1st 스피디 스팟,,0
닥터지,에이클리어 스팟 포 페이스 세럼 기획세트,닥터지 에이클리어 스팟 포 페이스 세럼 기획세트,,0
스킨1004,마다가스카르 센텔라 앰플,스킨1004 마다가스카르 센텔라 앰플,,0
대웅제약,이지듀 기미잡티앰플,대웅제약 이지듀 기미잡티앰플,,0
VT,리들샷 에센스,VT 리들샷 에센스,,0
리쥬란,턴오버 앰플 듀얼 이펙트 단독기획,리쥬란 턴오버 앰플 듀얼 이펙트 단독기획,,0
달바,비타 토닝 캡슐 세럼,달바 비타 토닝 캡슐 세럼,,0
코스알엑스,더 나이아신아마이드 세럼,코스알엑스 더 나이아신아마이드 세럼,,0
앰플엔,블레미샷 잡티앰플,앰플엔 블레미샷 잡티앰플,,0
아렌시아,젤리세럼 레드 스무디 세럼,아렌시아 젤리세럼 레드 스무디 세럼,,0
