brand,product_name,product_full,standard_key,korean_name,english_name,family,pH,source_text,match_type,match_score
더후,로얄레지나 에너지드롭 트리트먼트,더후 로얄레지나 에너지드롭 트리트먼트,피피지-17,피피지-17,,,,피피지-17,exact,100
비오템,옴므 The Drop Collection 아쿠아파워 올인원,비오템 옴므 The Drop Collection 아쿠아파워 올인원,피이지-10,피이지-10,,,,피이지-10,exact,100
아이오페,맨 프로 레티놀 올인원,아이오페 맨 프로 레티놀 올인원,레티놀,레티놀,,,,레티놀,exact,100
더샘,클래식 옴므 올인원 에센스,더샘 클래식 옴므 올인원 에센스,히스티딘,히스티딘,,,,히스티딘,exact,100
싸이닉,아쿠아 옴므 올인원 모이스처라이저,싸이닉 아쿠아 옴므 올인원 모이스처라이저,피피지-17,피피지-17,,,,피피지-17,exact,100
포맨트,시그니처 올인원 에센스,포맨트 시그니처 올인원 에센스,에틸헥실아크릴레이트,에틸헥실아크릴레이트,,,,에틸헥실아크릴레이트,exact,100
라끄베르,옴므 리차지 시카 에멀전,라끄베르 옴므 리차지 시카 에멀전,데실알코올,데실알코올,,,,데실알코올,exact,100
더페이스샵,더 블랙밤 로션,더페이스샵 더 블랙밤 로션,피이지-10,피이지-10,,,,피이지-10,exact,100
비오템옴므,아쿠아파워 올인원 스틱,비오템옴므 아쿠아파워 올인원 스틱,피이지-10,피이지-10,,,,피이지-10,exact,100
키엘,울트라 훼이셜 베리어 스틱 밤 /단품,키엘 울트라 훼이셜 베리어 스틱 밤 /단품,피이지-10,피이지-10,,,,피이지-10,exact,100
랑콤,클라리피끄 에멀전,랑콤 클라리피끄 에멀전,피피지-16,피피지-16,,,,피피지-16,exact,100
디오디너리,% 나이아신아마이드 파우더,디오디너리 % 나이아신아마이드 파우더,나이아신아마이드,나이아신아마이드,,,,나이아신아마이드,exact,100
아벤느,오 떼르말,아벤느 오 떼르말,온천수,온천수,,,,온천수,exact,100
유리아쥬,오떼르말,유리아쥬 오떼르말,온천수,온천수,,,,온천수,exact,100
아벤느,오 떼르말,아벤느 오 떼르말,온천수,온천수,,,,온천수,exact,100
유리아쥬,오떼르말,유리아쥬 오떼르말,온천수,온천수,,,,온천수,exact,100
