원료명_정제됨
클로르자이레놀
황련추출물
소듐말리에이트라우릴글루코사이드크로스폴리머
다이하이드로벤질아다만탄일다이메톡시벤자마이드
글리세릴팔미테이트락테이트
하이드로제네이티드감자전분
우르솔로일트라이펩타이드-35
세틸헥사코실다이메티콘/비스-비닐다이메티콘크로스폴리머
아이소펜탄
다이포타슘카프릴로일글루타메이트
레보모라마이드
금전송뿌리껍질추출물
박하잎/줄기오일
석류/수크로오스발효추출물
에틸헥실갈레이트
산초나무잎추출물
삼뿌리수
소듐리시놀레오암포아세테이트
노닐노녹시놀-100
스테아록시트라이메틸실레인
아이소세틸아이소아라키돌
효모발효추출물
팔미토일카르니틴
카퍼아세틸타이로시네이트메틸실란올
아스코빌토코페릴아세테이트
헥사펩타이드-65
요힘빈
피피지-30
스테아랄코늄클로라이드
클로르메자논
효모/유자껍질발효여과물
헥사메토늄클로라이드;헥사메틸렌클로라이드
"1-프로판올, 3--2-나이트로페닐]아미노]"
"트라이부틸틴옥사이드

비스옥사이드"
C20-40애씨드
산국꽃/잎/줄기추출물
부틸4-하이드록시벤조에이트 및 그 염류 프로필4-하이드록시벤조에이트 및 그염류
중국목련싹/꽃추출물
테트라메틸티우람모노설파이드;비스설파이드
락타마이드
"비스-브로모아세틸1,6-헥산다이아민"
옥톡시놀-20카복실릭애씨드
흰전나무오일 및 추출물
파파야씨오일
CI 77605
CI 73915
나이아신
레소니아 니그레스켄스가루
인도멀구슬나무잎가루
아티초크잎추출물
트라이데세스-6포스페이트
소듐라우로일콜라겐아미노산
옥톡시놀-6
깔라몬딘오렌지즙
준베리열매추출물
칼슘파이로포스페이트
줄작두콩꼬투리추출물
서양유채꽃
향부자뿌리가루
알-
양까막까치밥나무잎추출물
자목련싹추출물
C14-16글라이콜팔미테이트
글리세릴올리에이트시트레이트
자란캘러스추출물
잇바디돌김추출물
아스코빌프로필하이드롤라이즈드하이알루로네이트
"N,N-헥사메틸렌비스"
락토바실러스/좁씨발효추출물
오이풀뿌리/줄기가루
애로루트뿌리추출물
영지버섯균사체추출물
에스에이치-올리고펩타이드-7
폴리아이소프렌
아이소스테아릭/미리스틱글리세라이즈
다이메티콘피이지-7프탈레이트
소나무잎추출물
펜타에리스리틸테트라나이트레이트
락토바실러스/사과발효여과물
스테아라미도프로필트라이모늄메토설페이트
폴리쿼터늄-27
라임껍질추출물
아라비안자스민꽃수
다이올레오일아이소프로필다이모늄메토설페이트
메밀줄기추출물
"-2,3-다이하이드로-1H-인돌-카복실릭애씨드"
부타디엔 0.1%w/w를 초과하여 함유하는 부탄
연꽃씨추출물
소초유추출물
스테아다이모늄하이드록시프로필하이드롤라이즈드밀단백질
펜타펩타이드-56
노녹시닐하이드록시에틸셀룰로오스
"2,6-자일리딘;2,6-다이메틸아닐린;o-자일리딘;벤젠아민,2,6-다이메틸-"
칼슘라우레이트
다이머다일리놀레일다이아이소스테아레이트
트라이펩타이드-36
노빌레틴
폴리글리세릴-10데칼리놀리에이트
서양톱풀꽃/잎/줄기추출물
황칠나무피토플라센타추출물
콩피토플라센타추출물
세틸아모다이메티콘
솔베스-30펜타아이소스테아레이트
당광나무추출물
폴리메틸실세스퀴옥세인/트라이메틸실록시실리케이트
다이펜타에리스리틸헥사하이드록시스테아레이트/헥사스테아레이트/헥사하이드로제네이티드로지네이트
"2,4,5-트라이메틸아닐린"
허브베니트추출물
징크라우레이트
홀리바질잎추출물
모르핀메틸클로라이드
눈꽃동충하초균사체/미선나무발효추출물
아욱씨추출물
리퀴리틴아피오사이드
만노실에리스리톨리피드
변성알코올31-A
파두
석류나무글리세라이즈
이엽솔송나무껍질가루
락토바실러스/감초뿌리추출물/묏대추나무열매추출물/밀배아추출물발효여과물
레파게르마늄
락토바실러스/삼칠뿌리추출발효여과물
아이소프로필티오글라이콜레이트
에틸헥실올리에이트
돌외추출물
트랜스-2-헥센다이에틸아세탈
라우레스-13카복실릭애씨드
라이신코코에이트
솔이끼추출물
달맞이꽃뿌리추출물
C12-18디알킬디모늄클로라이드
폴리글리세릴-10올리에이트
라우릭애씨드
글리세릴리놀리에이트
